LAKE NAME,DATE,SECCHI,LAKE TEMP,TIME,Year,Month,Day
Lower Stillwater,9/19/1992,1.609344,15.0,13:30,1992,9,19
Mary Ronan,9/21/1992,1.594104,15.0,15:25,1992,9,21
Mary Ronan,9/21/1992,1.392936,15.0,15:25,1992,9,21
Ashley,9/30/1992,2.13676992,7.0,11:00,1992,9,30
Ashley,9/30/1992,2.97289728,9.8,11:30,1992,9,30
Lower Stillwater,10/2/1992,1.85928,13.0,11:30,1992,10,2
Beaver,10/4/1992,1.764792,15.0,14:00,1992,10,4
Whitefish,10/6/1992,1.99644,3.0,16:30,1992,10,6
Whitefish,10/6/1992,1.764792,4.0,16:50,1992,10,6
Mary Ronan,10/8/1992,1.060704,12.5,13:30,1992,10,8
Mary Ronan,10/8/1992,0.92964,12.0,13:30,1992,10,8
Little Bitterroot,10/10/1992,4.645152,,14:15,1992,10,10
Flathead Crescent Bay,10/11/1992,2.322576,14.0,13:55,1992,10,11
Swan,10/11/1992,2.139696,13.5,12:30,1992,10,11
Whitefish,10/13/1992,2.322576,13.0,14:15,1992,10,13
Halfmoon,10/18/1992,1.207008,8.0,14:00,1992,10,18
Lower Stillwater,10/18/1992,1.423416,11.0,11:00,1992,10,18
Flathead Sessions Point,10/24/1992,2.88036,11.0,12:00,1992,10,24
Lake Five,10/25/1992,1.301496,20.0,15:35,1992,10,25
Ashley,10/28/1992,3.7161216,12.2,14:30,1992,10,28
Ashley,10/28/1992,3.90192768,12.8,15:00,1992,10,28
Halfmoon,11/1/1992,1.740408,7.0,13:02,1992,11,1
Flathead Marco Bay,11/3/1992,2.307336,10.0,9:30,1992,11,3
Flathead Marco Bay,11/15/1992,2.40792,9.0,15:00,1992,11,15
Flathead Marco Bay,4/16/1993,1.155192,6.0,15:22,1993,4,16
Flathead Marco Bay,5/1/1993,0.97536,13.0,17:30,1993,5,1
Lower Stillwater,5/1/1993,1.609344,11.0,15:10,1993,5,1
Flathead Marco Bay,5/15/1993,0.332232,13.0,11:38,1993,5,15
Bailey,5/24/1993,1.618055086,20.0,12:15,1993,5,24
Flathead Somers Bay,5/25/1993,0.28956,15.0,10:00,1993,5,25
Flathead Mission View Terrace,5/25/1993,1.85928,15.0,10:00,1993,5,25
Rogers,5/30/1993,1.15824,20.0,18:00,1993,5,30
Ashley,5/31/1993,1.95096384,6.4,10:20,1993,5,31
Ashley,5/31/1993,2.87999424,9.5,9:30,1993,5,31
Beaver,5/31/1993,1.764792,20.0,14:30,1993,5,31
Flathead Marco Bay,6/1/1993,0.603504,14.0,10:00,1993,6,1
Flathead Polson Bay,6/3/1993,1.61544,14.0,11:15,1993,6,3
Mary Ronan,6/4/1993,2.182368,16.5,11:00,1993,6,4
Mary Ronan,6/4/1993,2.231136,17.0,11:00,1993,6,4
Ashley,6/9/1993,2.322576,7.6,14:00,1993,6,9
Ashley,6/9/1993,3.53031552,11.6,10:00,1993,6,9
Bailey,6/13/1993,1.432249006,21.0,19:10,1993,6,13
Halfmoon,6/13/1993,1.35636,15.0,12:00,1993,6,13
Tally,6/13/1993,1.069848,15.0,12:50,1993,6,13
Swan,6/14/1993,1.231392,15.0,18:00,1993,6,14
Beaver,6/15/1993,1.95072,20.0,14:00,1993,6,15
Flathead Marco Bay,6/15/1993,1.261872,15.0,13:30,1993,6,15
Flathead Polson Bay,6/18/1993,1.6764,15.0,9:00,1993,6,18
Skyles,6/20/1993,1.15824,22.0,11:00,1993,6,20
Flathead Indian Bay,6/24/1993,2.066544,11.0,9:00,1993,6,24
Flathead East Mack Alley,6/24/1993,1.95072,14.0,10:00,1993,6,24
Flathead Somers Bay,6/26/1993,1.487424,18.0,9:27,1993,6,26
Flathead Mission View Terrace,6/26/1993,1.517904,18.0,9:27,1993,6,26
Lower Stillwater,6/26/1993,1.801368,17.0,14:30,1993,6,26
Bailey,6/27/1993,1.64902896,20.0,11:30,1993,6,27
Flathead Marco Bay,7/1/1993,2.779776,14.0,13:45,1993,7,1
Skyles,7/1/1993,0.8382,20.0,16:20,1993,7,1
Flathead Polson Bay,7/2/1993,1.70688,14.0,10:15,1993,7,2
Ashley,7/3/1993,2.41547904,7.9,17:00,1993,7,3
Ashley,7/3/1993,2.322576,7.6,15:30,1993,7,3
Swan,7/8/1993,1.453896,15.0,11:55,1993,7,8
Halfmoon,7/9/1993,1.578864,14.0,12:00,1993,7,9
Beaver,7/10/1993,2.414016,22.0,14:00,1993,7,10
Bailey,7/11/1993,1.432249006,20.0,19:15,1993,7,11
Flathead Indian Bay,7/12/1993,3.048,16.0,9:30,1993,7,12
Flathead East Mack Alley,7/12/1993,3.10896,15.0,9:30,1993,7,12
Beaver,7/14/1993,2.322576,23.0,14:30,1993,7,14
Beaver,7/14/1993,2.414016,23.0,14:30,1993,7,14
Flathead Polson Bay,7/15/1993,1.73736,17.0,13:00,1993,7,15
Flathead Marco Bay,7/15/1993,2.532888,18.0,10:00,1993,7,15
Flathead Somers Bay,7/17/1993,1.734312,15.0,13:00,1993,7,17
Flathead Mission View Terrace,7/17/1993,2.368296,15.0,13:00,1993,7,17
Mary Ronan,7/19/1993,1.115568,16.0,13:35,1993,7,19
Mary Ronan,7/19/1993,1.124712,16.0,13:35,1993,7,19
Bailey,7/24/1993,0.959967112,16.0,,1993,7,24
Ashley,7/25/1993,0.798576,2.6,10:00,1993,7,25
Ashley,7/25/1993,0.92964,3.1,10:00,1993,7,25
Echo,7/25/1993,2.206752,18.0,18:30,1993,7,25
Echo,7/25/1993,2.197608,18.0,17:30,1993,7,25
Echo,7/25/1993,1.533144,17.0,17:30,1993,7,25
Tally,7/25/1993,0.969264,15.0,19:00,1993,7,25
Beaver,7/27/1993,1.810512,20.5,13:30,1993,7,27
Skyles,7/29/1993,0.950976,24.0,12:20,1993,7,29
Halfmoon,7/30/1993,1.347216,19.0,20:00,1993,7,30
Lower Stillwater,7/30/1993,2.261616,17.0,14:00,1993,7,30
Blanchard,8/1/1993,1.673352,21.0,10:30,1993,8,1
Flathead Somers Bay,8/1/1993,1.301496,18.0,11:00,1993,8,1
Flathead Mission View Terrace,8/1/1993,2.633472,17.0,11:00,1993,8,1
Echo,8/2/1993,1.269612945,14.5,11:15,1993,8,2
Echo,8/2/1993,2.292096,19.0,11:15,1993,8,2
Echo,8/2/1993,1.648968,19.0,8:30,1993,8,2
Mary Ronan,8/2/1993,1.764792,19.0,11:30,1993,8,2
Mary Ronan,8/2/1993,1.905,18.5,11:30,1993,8,2
Flathead Marco Bay,8/4/1993,2.764536,19.0,11:20,1993,8,4
Flathead Indian Bay,8/5/1993,3.16992,19.0,11:30,1993,8,5
Flathead East Mack Alley,8/5/1993,3.13944,20.0,11:50,1993,8,5
Flathead Somers Bay,8/6/1993,2.599944,20.5,13:00,1993,8,6
Flathead Mission View Terrace,8/6/1993,2.237232,20.5,13:00,1993,8,6
Upper Stillwater,8/6/1993,2.554224,18.0,13:30,1993,8,6
Bailey,8/8/1993,1.385803061,14.0,19:00,1993,8,8
Echo,8/8/1993,2.432304,21.0,14:20,1993,8,8
Echo,8/8/1993,2.353056,20.0,14:00,1993,8,8
Echo,8/8/1993,1.548384,20.0,14:00,1993,8,8
Loon,8/8/1993,1.9812,24.0,14:30,1993,8,8
Swan,8/8/1993,1.795272,19.0,18:00,1993,8,8
Flathead Polson Bay,8/9/1993,1.8288,20.0,12:50,1993,8,9
Mary Ronan,8/9/1993,2.045208,20.0,11:15,1993,8,9
Mary Ronan,8/9/1993,2.045208,20.0,11:15,1993,8,9
Tally,8/11/1993,1.191768,20.0,13:00,1993,8,11
Glen,8/13/1993,1.487424,19.0,16:30,1993,8,13
Ashley,8/14/1993,1.673352,5.5,12:00,1993,8,14
Ashley,8/14/1993,1.578864,5.2,13:17,1993,8,14
Beaver,8/15/1993,1.905,17.0,14:00,1993,8,15
Beaver,8/15/1993,1.95072,17.0,14:45,1993,8,15
Echo,8/15/1993,2.036064,21.0,18:30,1993,8,15
Echo,8/15/1993,2.599944,21.0,18:45,1993,8,15
Echo,8/15/1993,1.487424,21.0,18:50,1993,8,15
Flathead Woods Bay,8/15/1993,1.484376,15.0,Time,1993,8,15
Flathead Somers Bay,8/15/1993,2.231136,20.0,12:50,1993,8,15
Flathead Mission View Terrace,8/15/1993,2.417064,20.0,12:50,1993,8,15
Flathead Marco Bay,8/15/1993,2.130552,17.0,11:30,1993,8,15
Halfmoon,8/15/1993,1.664208,20.0,19:15,1993,8,15
Flathead Woods Bay,8/20/1993,2.950464,19.0,16:15,1993,8,20
Bailey,8/22/1993,1.43999712,9.0,15:48,1993,8,22
Blanchard,8/22/1993,1.673352,21.0,16:30,1993,8,22
Echo,8/22/1993,2.276856,21.0,14:00,1993,8,22
Echo,8/22/1993,2.599944,21.0,18:45,1993,8,22
Echo,8/22/1993,1.557528,20.0,15:50,1993,8,22
Beaver,8/24/1993,1.95072,21.0,15:00,1993,8,24
Flathead Conrad ,8/25/1993,2.508504,21.0,10:30,1993,8,25
Flathead Crescent Bay,8/25/1993,3.282696,16.0,12:00,1993,8,25
Flathead Sessions Point,8/25/1993,3.639312,17.0,12:00,1993,8,25
Flathead Indian Bay,8/25/1993,3.16992,20.0,13:30,1993,8,25
Flathead East Mack Alley,8/25/1993,3.10896,21.0,13:00,1993,8,25
Lower Stillwater,8/25/1993,2.340864,15.0,16:00,1993,8,25
Whitefish,8/25/1993,1.3716,19.0,15:10,1993,8,25
Whitefish,8/25/1993,1.76784,18.0,13:30,1993,8,25
Flathead Polson Bay,8/27/1993,1.8288,18.0,9:45,1993,8,27
Echo,8/29/1993,1.9812,18.0,8:30,1993,8,29
Echo,8/29/1993,2.599944,17.0,14:00,1993,8,29
Echo,8/29/1993,1.624584,17.0,18:50,1993,8,29
Halfmoon,8/29/1993,1.673352,16.0,19:35,1993,8,29
Loon,8/29/1993,2.95656,19.0,17:00,1993,8,29
Flathead Woods Bay,8/30/1993,2.9718,19.0,12:00,1993,8,30
Ashley,8/31/1993,2.694432,8.8,9:00,1993,8,31
Ashley,8/31/1993,2.785872,9.1,11:20,1993,8,31
Flathead Marco Bay,9/1/1993,1.87452,15.0,12:00,1993,9,1
Beaver,9/2/1993,1.578864,25.0,14:30,1993,9,2
Beaver,9/2/1993,1.95072,22.0,11:00,1993,9,2
Bailey,9/4/1993,1.734128145,5.0,16:09,1993,9,4
Flathead Woods Bay,9/4/1993,2.694432,17.0,10:00,1993,9,4
Flathead Somers Bay,9/4/1993,2.5908,16.0,13:10,1993,9,4
Flathead Mission View Terrace,9/4/1993,2.57556,16.0,13:10,1993,9,4
Flathead Indian Bay,9/6/1993,2.52984,18.0,11:50,1993,9,6
Flathead East Mack Alley,9/6/1993,2.68224,19.0,13:45,1993,9,6
Flathead Polson Bay,9/14/1993,1.70688,16.0,12:00,1993,9,14
Flathead Marco Bay,9/15/1993,2.02692,13.0,14:35,1993,9,15
Loon,9/16/1993,2.65176,17.0,18:00,1993,9,16
Flathead Conrad ,9/17/1993,2.548128,15.0,14:15,1993,9,17
Flathead Woods Bay,9/17/1993,2.740152,17.0,12:17,1993,9,17
Flathead Somers Bay,9/17/1993,2.25552,15.0,13:45,1993,9,17
Flathead Mission View Terrace,9/17/1993,2.286,14.5,13:45,1993,9,17
Mary Ronan,9/17/1993,1.810512,15.0,14:00,1993,9,17
Mary Ronan,9/17/1993,1.764792,15.0,14:00,1993,9,17
Swan,9/17/1993,2.136648,14.5,15:30,1993,9,17
Whitefish,9/17/1993,2.01168,16.0,12:30,1993,9,17
Whitefish,9/17/1993,2.68224,16.0,14:00,1993,9,17
Beaver,9/18/1993,1.71870624,17.0,14:30,1993,9,18
Halfmoon,9/22/1993,1.207008,12.5,18:26,1993,9,22
Bailey,9/25/1993,1.71870624,6.0,17:05,1993,9,25
Flathead Indian Bay,9/29/1993,3.16992,14.0,13:00,1993,9,29
Flathead East Mack Alley,9/29/1993,3.13944,14.5,14:10,1993,9,29
Blanchard,9/30/1993,1.85928,21.0,17:40,1993,9,30
Flathead Marco Bay,10/1/1993,1.277112,14.0,13:55,1993,10,1
Flathead Somers Bay,10/2/1993,2.07264,13.0,14:15,1993,10,2
Flathead Mission View Terrace,10/2/1993,2.49936,14.0,14:15,1993,10,2
Flathead Marco Bay,10/2/1993,2.523744,12.0,12:00,1993,10,2
Flathead Rollins Bay 2,10/3/1993,2.694432,17.0,14:00,1993,10,3
Flathead Rollins Bay 1,10/3/1993,1.85928,17.0,14:00,1993,10,3
Halfmoon,10/3/1993,1.277112,14.0,15:00,1993,10,3
Tally,10/3/1993,1.328928,16.0,13:30,1993,10,3
Ashley,10/5/1993,1.95072,6.4,10:20,1993,10,5
Ashley,10/5/1993,1.85928,6.1,17:15,1993,10,5
Lower Stillwater,10/9/1993,1.557528,14.0,14:30,1993,10,9
Bailey,10/10/1993,1.517385352,7.0,12:45,1993,10,10
Swan,10/11/1993,2.090928,12.0,20:00,1993,10,11
Flathead Marco Bay,10/15/1993,1.9812,10.0,13:30,1993,10,15
Loon,10/23/1993,1.8288,13.0,12:30,1993,10,23
Mary Ronan,10/23/1993,1.557528,10.0,11:30,1993,10,23
Mary Ronan,10/23/1993,1.594104,10.0,11:30,1993,10,23
Blanchard,10/24/1993,1.484376,15.0,15:30,1993,10,24
Bailey,10/30/1993,1.115568,16.0,17:06,1993,10,30
Flathead Somers Bay,10/30/1993,1.79832,9.0,15:10,1993,10,30
Flathead Mission View Terrace,10/30/1993,2.22504,9.0,15:10,1993,10,30
Halfmoon,10/31/1993,1.222248,4.0,16:14,1993,10,31
Flathead Marco Bay,11/1/1993,2.429256,10.0,15:45,1993,11,1
Flathead Marco Bay,11/3/1993,1.865376,6.0,15:30,1993,11,3
Flathead Marco Bay,11/14/1993,1.719072,3.0,13:45,1993,11,14
Flathead Somers Bay,11/16/1993,1.95072,7.0,14:30,1993,11,16
Flathead Mission View Terrace,11/16/1993,2.31648,7.0,14:30,1993,11,16
Flathead Marco Bay,12/1/1993,1.728216,3.0,12:45,1993,12,1
Flathead Somers Bay,12/11/1993,1.53924,6.0,12:35,1993,12,11
Flathead Mission View Terrace,12/11/1993,2.10312,6.0,12:35,1993,12,11
Flathead Marco Bay,12/15/1993,1.49352,2.0,13:00,1993,12,15
Flathead Marco Bay,1/1/1994,1.085088,3.0,13:05,1994,1,1
Flathead Marco Bay,1/15/1994,1.789176,2.0,12:30,1994,1,15
Flathead Marco Bay,2/1/1994,1.911096,1.0,13:15,1994,2,1
Flathead Marco Bay,2/18/1994,1.55448,1.0,14:45,1994,2,18
Flathead Marco Bay,3/2/1994,1.9812,3.0,13:50,1994,3,2
Flathead Marco Bay,3/15/1994,1.61544,5.0,12:40,1994,3,15
Flathead Marco Bay,4/1/1994,1.338072,6.0,13:30,1994,4,1
Flathead Marco Bay,4/15/1994,1.55448,9.0,13:00,1994,4,15
Flathead Conrad ,4/16/1994,0.798576,8.0,12:00,1994,4,16
Flathead Conrad ,4/27/1994,0.999744,10.0,14:00,1994,4,27
Halfmoon,5/1/1994,1.524,9.0,11:35,1994,5,1
Flathead Marco Bay,5/2/1994,0.44196,13.0,12:00,1994,5,2
Flathead Somers Bay,5/8/1994,0.8382,12.0,13:10,1994,5,8
Flathead Mission View Terrace,5/8/1994,0.65532,11.0,13:10,1994,5,8
Loon,5/8/1994,2.286,16.0,17:00,1994,5,8
Tally,5/8/1994,1.283208,17.0,11:30,1994,5,8
Beaver,5/9/1994,1.76515776,18.0,14:30,1994,5,9
Ashley,5/14/1994,2.505456,8.2,9:45,1994,5,14
Ashley,5/14/1994,3.343656,11.0,8:10,1994,5,14
Flathead Marco Bay,5/15/1994,0.935736,14.0,12:00,1994,5,15
Bailey,5/17/1994,1.551432,13.0,11:15,1994,5,17
Swan,5/25/1994,1.28016,13.0,19:30,1994,5,25
Ashley,5/28/1994,2.785872,9.1,10:15,1994,5,28
Ashley,5/28/1994,1.670304,5.5,12:05,1994,5,28
Glen,5/30/1994,0.454152,12.0,12:00,1994,5,30
Flathead Marco Bay,6/1/1994,1.87452,13.0,11:50,1994,6,1
Flathead Polson Bay,6/2/1994,1.6764,15.0,13:45,1994,6,2
Lake Five,6/3/1994,1.670304,15.0,14:30,1994,6,3
Skyles,6/4/1994,1.2192,22.0,15:45,1994,6,4
Bailey,6/5/1994,1.773936,14.0,11:00,1994,6,5
Blanchard,6/5/1994,1.347216,10.0,14:15,1994,6,5
Rogers,6/5/1994,1.73736,17.0,16:00,1994,6,5
Beaver,6/9/1994,2.13676992,23.0,14:30,1994,6,9
Jette,6/9/1994,1.93548,17.0,12:00,1994,6,9
Halfmoon,6/10/1994,1.338072,20.0,19:00,1994,6,10
Flathead Conrad ,6/12/1994,2.602992,15.0,12:00,1994,6,12
Glen,6/12/1994,1.399032,15.0,13:00,1994,6,12
Flathead Marco Bay,6/15/1994,1.801368,17.0,14:35,1994,6,15
Bailey,6/18/1994,1.624584,15.0,14:45,1994,6,18
Loon,6/18/1994,1.96596,18.0,17:00,1994,6,18
Rogers,6/19/1994,1.719072,15.0,15:30,1994,6,19
Skyles,6/19/1994,1.28016,14.0,11:20,1994,6,19
Tally,6/19/1994,1.731264,14.0,9:30,1994,6,19
Flathead Polson Bay,6/20/1994,1.73736,16.0,15:35,1994,6,20
Flathead East Mack Alley,6/20/1994,2.88036,15.0,13:00,1994,6,20
Jette,6/20/1994,1.4478,25.0,14:00,1994,6,20
